10333 ,"אתיופיה: נצרות, אסלאם, יהדות ",תל אביב - ביס אליאנס 
14196 ,בחינת גמר בחינוך במגמת טכנולוגיות למידה ,מתקני האוניברסיטה הפתוחה 
14197 ,בחינת גמר בחינוך במגמת מערכות למידה ,מתקני האוניברסיטה הפתוחה 
14195 ,בחינת גמר במינהל מדיניות ומנהיגות בחינוך ,מתקני האוניברסיטה הפתוחה 
14001 ,בחירה בחינוך: בתי ספר ותהליכים חלופיים ,הנחיה מקוונת 
20579 ,ביואינפורמטיקה: אנליזה של רצפים וגנומים ,ללא מפגשי הנחיה 
20579 ,ביואינפורמטיקה: אנליזה של רצפים וגנומים ,תל אביב - קמפוס רמת אביב 
20204 ,ביוכימיה א ,הנחיה מקוונת 
20204 ,ביוכימיה א ,הנחיה מקוונת 
20204 ,ביוכימיה א ,תל אביב - ביס אליאנס 
20485 ,ביוכימיה א לכימאים ,הנחיה מקוונת 
20485 ,ביוכימיה א לכימאים ,הנחיה מקוונת 
20485 ,ביוכימיה א לכימאים ,תל אביב - ביס אליאנס 
20118 ,ביולוגיה כללית א ,הנחיה מקוונת 
20118 ,ביולוגיה כללית א ,הנחיה מקוונת 
20118 ,ביולוגיה כללית א ,הנחיה מקוונת 
20118 ,ביולוגיה כללית א ,הנחיה מקוונת 
20118 ,ביולוגיה כללית א ,ירושלים - קמפוס ירושלים בגן הטכנולוגי 
20118 ,ביולוגיה כללית א ,חיפה - קמפוס חיפה בבית בירם 
20118 ,ביולוגיה כללית א ,חיפה - קמפוס חיפה בבית בירם 
20118 ,ביולוגיה כללית א ,תל אביב - קמפוס רמת אביב 
20118 ,ביולוגיה כללית א ,תל אביב - ביס אליאנס 
20118 ,ביולוגיה כללית א ,תל אביב - ביס אליאנס 
20118 ,ביולוגיה כללית א ,תל אביב - ביס אליאנס 
20118 ,ביולוגיה כללית א ,באר שבע - קמפוס בית יציב 
20119 ,ביולוגיה כללית ב ,הנחיה מקוונת 
20119 ,ביולוגיה כללית ב ,הנחיה מקוונת 
20119 ,ביולוגיה כללית ב ,הנחיה מקוונת 
20119 ,ביולוגיה כללית ב ,הנחיה מקוונת 
20119 ,ביולוגיה כללית ב ,חיפה - קמפוס חיפה בבית בירם 
10558 ,ביטחון סוציאלי ,הנחיה מקוונת 
10558 ,ביטחון סוציאלי ,הנחיה מקוונת 
10558 ,ביטחון סוציאלי ,ללא מפגשי הנחיה 
10558 ,ביטחון סוציאלי ,מודיעין - המרכז הרב תחומי 
10558 ,ביטחון סוציאלי ,תל אביב - ביס אליאנס 
10558 ,ביטחון סוציאלי ,שדרות - מתנס שדרות 
10234 ,בימי שואה ופקודה ,הנחיה מקוונת 
10234 ,בימי שואה ופקודה ,הנחיה מקוונת 
10234 ,בימי שואה ופקודה ,הנחיה מקוונת 
10234 ,בימי שואה ופקודה ,ללא מפגשי הנחיה 
